POLY_ID,display_name,waveBool,cdpBool,interestingBool
AGO,Angola,FALSE,FALSE,TRUE
ATF,French Southern Territories,FALSE,FALSE,FALSE
BDI,Burundi,FALSE,FALSE,TRUE
BEN,Benin,TRUE,FALSE,FALSE
BFA,Burkina Faso,TRUE,FALSE,FALSE
BWA,Botswana,FALSE,FALSE,FALSE
CAF,Central African Republic,FALSE,FALSE,TRUE
CIV,Côte d'Ivoire,TRUE,FALSE,FALSE
CMR,Cameroon,TRUE,FALSE,FALSE
COD,DRC,TRUE,FALSE,FALSE
COG,Congo,FALSE,FALSE,TRUE
COM,Comoros,FALSE,FALSE,FALSE
CPV,Cape Verde,FALSE,FALSE,FALSE
DJI,Djibouti,FALSE,FALSE,FALSE
DZA,Algeria,FALSE,FALSE,FALSE
EGY,Egypt,FALSE,FALSE,FALSE
ERI,Eritrea,FALSE,FALSE,FALSE
ESH,Western Sahara,FALSE,FALSE,FALSE
ETH,Ethiopia,FALSE,FALSE,TRUE
GAB,Gabon,TRUE,FALSE,FALSE
GHA,Ghana,TRUE,FALSE,FALSE
GIN,Guinea,FALSE,FALSE,TRUE
GMB,Gambia,FALSE,FALSE,FALSE
GNB,Guinea-Bissau,FALSE,FALSE,FALSE
GNQ,Equatorial Guinea,FALSE,FALSE,TRUE
IOT,British Indian Ocean Territory,FALSE,FALSE,FALSE
KEN,Kenya,FALSE,TRUE,FALSE
LBR,Liberia,FALSE,FALSE,TRUE
LBY,Libya,FALSE,FALSE,FALSE
LSO,Lesotho,FALSE,FALSE,FALSE
MAR,Morocco,FALSE,FALSE,FALSE
MDG,Madagascar,FALSE,FALSE,FALSE
MLI,Mali,FALSE,FALSE,FALSE
MOZ,Mozambique,FALSE,TRUE,FALSE
MRT,Mauritania,FALSE,FALSE,FALSE
MUS,Mauritius,FALSE,FALSE,FALSE
MWI,Malawi,FALSE,TRUE,FALSE
MYT,Mayotte,FALSE,FALSE,FALSE
NAM,Namibia,FALSE,FALSE,FALSE
NER,Niger,FALSE,FALSE,FALSE
NGA,Nigeria,TRUE,FALSE,FALSE
REU,Reunion,FALSE,FALSE,FALSE
RWA,Rwanda,FALSE,TRUE,FALSE
SDN,Sudan,FALSE,FALSE,FALSE
SEN,Senegal,FALSE,FALSE,FALSE
SHN,Saint Helena,FALSE,FALSE,FALSE
SLE,Sierra Leone,TRUE,FALSE,FALSE
SOM,Somalia,FALSE,FALSE,FALSE
SSD,South Sudan,FALSE,FALSE,TRUE
STP,São Tomé and Príncipe,FALSE,FALSE,FALSE
SWZ,Swaziland,FALSE,FALSE,FALSE
SYC,Seychelles,FALSE,FALSE,FALSE
TCD,Chad,FALSE,FALSE,FALSE
TGO,Togo,TRUE,FALSE,FALSE
TUN,Tunisia,FALSE,FALSE,FALSE
TZA,Tanzania,FALSE,TRUE,FALSE
UGA,Uganda,FALSE,TRUE,FALSE
ZAF,South Africa,FALSE,FALSE,FALSE
ZMB,Zambia,FALSE,TRUE,FALSE
ZWE,Zimbabwe,FALSE,FALSE,TRUE
